lat,lng,hour,day_of_week,month,is_weekend,is_night,is_late_evening,dist_to_risk_zone_km,dist_to_safe_zone_km,incident_count_500m,lighting_score,population_density,police_presence,user_speed_ms,risk_score,risk_label
26.887308023769474,75.87744286128199,20,0,1,0,0,1,9.8444,6.3832,2,0.662,0.341,0.72,1.84,0.281,0
26.816516898859163,75.8812819704324,23,2,4,0,1,1,14.9283,10.6208,2,0.173,0.205,0.515,1.13,0.587,1
26.934770578944477,75.7151987721304,7,1,12,0,0,0,7.3254,8.3796,1,0.782,0.85,0.32,1.44,0.106,0
26.821690082544002,75.80880897038028,3,5,12,1,1,1,9.5029,7.6835,1,0.48,0.39,0.685,0.73,0.58,1
26.949246605302434,75.77533049874792,17,0,10,0,0,0,3.9123,4.3004,0,0.798,0.324,0.746,0.6,0.127,0
26.874742215217882,75.79131360423557,13,0,1,0,0,0,3.5017,3.6066,1,0.988,0.843,0.764,4.5,0.054,0
26.996774847004627,75.70499850041038,2,1,4,0,1,1,13.1251,13.0832,1,0.23,0.229,0.363,3.53,0.575,1
26.868586901937476,75.79583921663165,16,4,1,0,0,0,4.3458,3.5835,1,0.63,0.991,0.663,0.44,0.039,0
26.97549228569097,75.82867146876953,17,1,12,0,0,0,7.2049,5.4584,2,0.743,0.381,0.718,1.95,0.128,0
26.825111670057208,75.74949646434314,20,5,9,1,0,1,8.4046,10.5586,3,0.789,0.384,0.628,2.86,0.263,0
26.966593435990912,75.78605911927288,13,1,8,0,0,0,5.2662,4.8539,2,0.643,0.322,0.582,0.75,0.173,0
26.99391329478522,75.73715844582978,18,2,1,0,0,0,10.4179,10.6228,2,0.631,0.503,0.297,5.31,0.201,0
26.939080751302086,75.86159211803755,5,5,7,1,1,1,7.6892,5.8148,2,0.316,0.346,0.738,0.77,0.622,1
26.85798703250839,75.77272155772525,10,2,3,0,0,0,4.4517,6.2529,2,0.804,0.592,0.333,0.26,0.117,0
27.000981940782506,75.75194058640415,6,6,6,1,0,1,10.1807,10.179,2,0.989,0.974,0.351,1.38,0.147,0
26.869368098875494,75.69467738947091,3,0,7,0,1,1,8.9445,11.3365,2,0.211,0.374,0.344,0.31,0.593,1
27.00953009082212,75.7357110543023,3,2,6,0,1,1,11.9194,12.0801,2,0.391,0.223,0.579,2.01,0.574,1
26.830457954010882,75.85436049911785,19,2,1,0,0,0,11.6872,7.6307,1,0.616,0.714,0.607,0.03,0.122,0
26.85769915503959,75.81633455808189,23,3,9,0,1,1,6.6206,3.6084,1,0.255,0.382,0.283,0.83,0.536,1
26.997338723655716,75.8627678706762,3,3,2,0,1,1,11.414,9.4961,3,0.312,0.188,0.256,4.55,0.657,2
26.939020291454653,75.75510595820974,17,2,11,0,0,0,4.6793,4.637,5,0.634,0.413,0.739,1.86,0.153,0
26.83269430857321,75.82000035382161,19,6,6,1,0,0,9.1296,6.3609,0,0.664,0.684,0.615,2.11,0.074,0
